Record,First Atom,Second Atom,First Element,Second Element,Bond Order Type,Bond Length,Bond Stereochemistry,Is Aromatic
1,N,CA,N,C,sing,1.47,N,N
2,N,H,N,H,sing,1.01,N,N
3,N,H2,N,H,sing,1.01,N,N
4,CA,C,C,C,sing,1.51,N,N
5,CA,CB,C,C,sing,1.53,N,N
6,CA,HA,C,H,sing,1.09,N,N
7,C,O,C,O,doub,1.21,N,N
8,C,OXT,C,O,sing,1.34,N,N
9,CB,CG,C,C,sing,1.51,N,N
10,CB,HB2,C,H,sing,1.09,N,N
11,CB,HB3,C,H,sing,1.09,N,N
12,CG,CD1,C,C,doub,1.38,N,Y
13,CG,CD2,C,C,sing,1.38,N,Y
14,CD1,CE1,C,C,sing,1.38,N,Y
15,CD1,HD1,C,H,sing,1.08,N,N
16,CD2,CE2,C,C,doub,1.38,N,Y
17,CD2,HD2,C,H,sing,1.08,N,N
18,CE1,CZ,C,C,doub,1.38,N,Y
19,CE1,HE1,C,H,sing,1.08,N,N
20,CE2,CZ,C,C,sing,1.38,N,Y
21,CE2,HE2,C,H,sing,1.08,N,N
22,CZ,HZ,C,H,sing,1.08,N,N
23,OXT,HXT,O,H,sing,0.97,N,N
